timestamp,test-class,test-method,time,description,result
"2022-05-22 11:25:45.445","acme.testing.inventor.artefact.InventorArtefactListOwnTest","negativeArtefactInventorTest",12503,""[1] recordIndex=0, type=TOOL, name=name01, code=ABC-012-A, techonology=technology01, description=description01, retailPrice=EUR 50.00, moreInfo=https://www.google.es/"","OK"
"2022-05-22 11:25:53.946","acme.testing.inventor.artefact.InventorArtefactListOwnTest","negativeArtefactInventorTest",8165,""[2] recordIndex=1, type=TOOL, name=name04, code=ABC-012-D, techonology=technology04, description=description04, retailPrice=EUR 10.00, moreInfo=null"","OK"
"2022-05-22 11:26:03.472","acme.testing.inventor.artefact.InventorArtefactListOwnTest","negativeArtefactInventorTest",9191,""[3] recordIndex=2, type=COMPONENT, name=name05, code=ABC-012-E, techonology=technology05, description=description05, retailPrice=EUR 40.00, moreInfo=https://www.google.es/"","OK"
"2022-05-22 11:26:08.047","acme.testing.inventor.artefact.InventorArtefactListOwnTest","positiveArtefactInventorTest",4251,""[1] recordIndex=0, type=TOOL, name=name01, code=ABC-012-A, techonology=technology01, description=description01, retailPrice=EUR 50.00, moreInfo=https://www.google.es/, published=inventor-01"","Expected value 'inventor-01' in attribute 5 of record 0, but found 'true'"
"2022-05-22 11:26:12.787","acme.testing.inventor.artefact.InventorArtefactListOwnTest","positiveArtefactInventorTest",4355,""[2] recordIndex=1, type=TOOL, name=name04, code=ABC-012-D, techonology=technology04, description=description04, retailPrice=EUR 10.00, moreInfo=null, published=inventor-01"","Expected value 'inventor-01' in attribute 5 of record 1, but found 'true'"
"2022-05-22 11:26:17.448","acme.testing.inventor.artefact.InventorArtefactListOwnTest","positiveArtefactInventorTest",4310,""[3] recordIndex=2, type=COMPONENT, name=name05, code=ABC-012-E, techonology=technology05, description=description05, retailPrice=EUR 40.00, moreInfo=https://www.google.es/, published=inventor-01"","Expected value 'inventor-01' in attribute 5 of record 2, but found 'true'"
"2022-05-22 11:26:18.413","acme.testing.inventor.artefact.InventorArtefactListOwnTest","NegativeAnonymousListOwnArtefactsTest",636,""[1] recordIndex=0, status=TOOL, code=name01, legalStuff=ABC-012-A, budget=technology01, initPeriod=description01, finalPeriod=EUR 50.00, link=https://www.google.es/, username=inventor-01, company=true"","OK"
"2022-05-22 11:26:19.179","acme.testing.inventor.artefact.InventorArtefactListOwnTest","NegativeAnonymousListOwnArtefactsTest",369,""[2] recordIndex=1, status=TOOL, code=name04, legalStuff=ABC-012-D, budget=technology04, initPeriod=description04, finalPeriod=EUR 10.00, link=null, username=inventor-01, company=true"","OK"
"2022-05-22 11:26:19.871","acme.testing.inventor.artefact.InventorArtefactListOwnTest","NegativeAnonymousListOwnArtefactsTest",376,""[3] recordIndex=2, status=COMPONENT, code=name05, legalStuff=ABC-012-E, budget=technology05, initPeriod=description05, finalPeriod=EUR 40.00, link=https://www.google.es/, username=inventor-01, company=false"","OK"
"2022-05-22 11:26:22.796","acme.testing.inventor.artefact.InventorArtefactListOwnTest","NegativeAdministratorListOwnArtefactsTest",2548,""[1] recordIndex=0, status=TOOL, code=name01, legalStuff=ABC-012-A, budget=technology01, initPeriod=description01, finalPeriod=EUR 50.00, link=https://www.google.es/, username=inventor-01, company=true"","OK"
"2022-05-22 11:26:25.802","acme.testing.inventor.artefact.InventorArtefactListOwnTest","NegativeAdministratorListOwnArtefactsTest",2608,""[2] recordIndex=1, status=TOOL, code=name04, legalStuff=ABC-012-D, budget=technology04, initPeriod=description04, finalPeriod=EUR 10.00, link=null, username=inventor-01, company=true"","OK"
"2022-05-22 11:26:28.787","acme.testing.inventor.artefact.InventorArtefactListOwnTest","NegativeAdministratorListOwnArtefactsTest",2600,""[3] recordIndex=2, status=COMPONENT, code=name05, legalStuff=ABC-012-E, budget=technology05, initPeriod=description05, finalPeriod=EUR 40.00, link=https://www.google.es/, username=inventor-01, company=false"","OK"
"2022-05-22 11:26:31.793","acme.testing.inventor.artefact.InventorArtefactListOwnTest","NegativePatronListOwnArtefactsTest",2569,""[1] recordIndex=0, status=TOOL, code=name01, legalStuff=ABC-012-A, budget=technology01, initPeriod=description01, finalPeriod=EUR 50.00, link=https://www.google.es/, username=inventor-01, company=true"","OK"
"2022-05-22 11:26:34.739","acme.testing.inventor.artefact.InventorArtefactListOwnTest","NegativePatronListOwnArtefactsTest",2536,""[2] recordIndex=1, status=TOOL, code=name04, legalStuff=ABC-012-D, budget=technology04, initPeriod=description04, finalPeriod=EUR 10.00, link=null, username=inventor-01, company=true"","OK"
"2022-05-22 11:26:37.685","acme.testing.inventor.artefact.InventorArtefactListOwnTest","NegativePatronListOwnArtefactsTest",2581,""[3] recordIndex=2, status=COMPONENT, code=name05, legalStuff=ABC-012-E, budget=technology05, initPeriod=description05, finalPeriod=EUR 40.00, link=https://www.google.es/, username=inventor-01, company=false"","OK"
