timestamp,test-class,test-method,time,description,result
"2022-05-22 11:36:29.141","acme.testing.inventor.toolkits.InventorToolkitsUpdateTest","createToolkit",11428,""[1] recordIndex=1, code=AAA-000-B, title=New title 2, description=New description 2, assemblyNotes=This is assembly notes 2, link=null"","OK"
"2022-05-22 11:36:36.694","acme.testing.inventor.toolkits.InventorToolkitsUpdateTest","negativeToolkitInventorTestCode",7181,""[1] recordIndex=0, code=null, title=null, description=null, assemblyNotes=null, link=null"","OK"
"2022-05-22 11:36:44.245","acme.testing.inventor.toolkits.InventorToolkitsUpdateTest","negativeToolkitInventorTestCode",7201,""[2] recordIndex=1, code=AAAAAA, title=null, description=null, assemblyNotes=null, link=null"","OK"
"2022-05-22 11:36:51.858","acme.testing.inventor.toolkits.InventorToolkitsUpdateTest","negativeToolkitInventorTestCode",7265,""[3] recordIndex=1, code=ABF-123-A, title=nigeria nigeria, description=nigeria nigeria, assemblyNotes=nigeria nigeria, link=///"","OK"
"2022-05-22 11:36:59.332","acme.testing.inventor.toolkits.InventorToolkitsUpdateTest","negativeToolkitInventorTestTitle",7139,""[1] recordIndex=0, code=null, title=null, description=null, assemblyNotes=null, link=null"","OK"
"2022-05-22 11:37:06.845","acme.testing.inventor.toolkits.InventorToolkitsUpdateTest","negativeToolkitInventorTestTitle",7168,""[2] recordIndex=1, code=AAAAAA, title=null, description=null, assemblyNotes=null, link=null"","OK"
"2022-05-22 11:37:14.396","acme.testing.inventor.toolkits.InventorToolkitsUpdateTest","negativeToolkitInventorTestTitle",7195,""[3] recordIndex=1, code=ABF-123-A, title=nigeria nigeria, description=nigeria nigeria, assemblyNotes=nigeria nigeria, link=///"","OK"
"2022-05-22 11:37:21.926","acme.testing.inventor.toolkits.InventorToolkitsUpdateTest","negativeToolkitInventorTestDescription",7192,""[1] recordIndex=0, code=null, title=null, description=null, assemblyNotes=null, link=null"","OK"
"2022-05-22 11:37:29.446","acme.testing.inventor.toolkits.InventorToolkitsUpdateTest","negativeToolkitInventorTestDescription",7145,""[2] recordIndex=1, code=AAAAAA, title=null, description=null, assemblyNotes=null, link=null"","OK"
"2022-05-22 11:37:36.972","acme.testing.inventor.toolkits.InventorToolkitsUpdateTest","negativeToolkitInventorTestDescription",7177,""[3] recordIndex=1, code=ABF-123-A, title=nigeria nigeria, description=nigeria nigeria, assemblyNotes=nigeria nigeria, link=///"","OK"
"2022-05-22 11:37:44.47","acme.testing.inventor.toolkits.InventorToolkitsUpdateTest","negativeToolkitInventorTestAssemblyNotes",7170,""[1] recordIndex=0, code=null, title=null, description=null, assemblyNotes=null, link=null"","OK"
"2022-05-22 11:37:51.993","acme.testing.inventor.toolkits.InventorToolkitsUpdateTest","negativeToolkitInventorTestAssemblyNotes",7176,""[2] recordIndex=1, code=AAAAAA, title=null, description=null, assemblyNotes=null, link=null"","OK"
"2022-05-22 11:37:59.685","acme.testing.inventor.toolkits.InventorToolkitsUpdateTest","negativeToolkitInventorTestAssemblyNotes",7323,""[3] recordIndex=1, code=ABF-123-A, title=nigeria nigeria, description=nigeria nigeria, assemblyNotes=nigeria nigeria, link=///"","OK"
"2022-05-22 11:38:07.217","acme.testing.inventor.toolkits.InventorToolkitsUpdateTest","negativeToolkitInventorTestLink",7187,""[1] recordIndex=1, code=ABF-123-A, title=nigeria nigeria, description=nigeria nigeria, assemblyNotes=nigeria nigeria, link=///"","OK"
"2022-05-22 11:38:15.805","acme.testing.inventor.toolkits.InventorToolkitsUpdateTest","positiveToolkitInventorTestTitle",8248,""[1] recordIndex=0, code=AAA-000-A, title=New title 4, description=New description 4, assemblyNotes=This is assembly notes 3, link=https://www.google.es"","OK"
"2022-05-22 11:38:23.399","acme.testing.inventor.toolkits.InventorToolkitsUpdateTest","positiveToolkitInventorTestTitle",7262,""[2] recordIndex=1, code=AAA-999-B, title=New title 4, description=New description 5, assemblyNotes=This is assembly notes 5, link=null"","OK"
"2022-05-22 11:38:31.931","acme.testing.inventor.toolkits.InventorToolkitsUpdateTest","positiveToolkitInventorTestDescription",8212,""[1] recordIndex=0, code=AAA-000-A, title=New title 4, description=New description 4, assemblyNotes=This is assembly notes 3, link=https://www.google.es"","OK"
"2022-05-22 11:38:40.067","acme.testing.inventor.toolkits.InventorToolkitsUpdateTest","positiveToolkitInventorTestDescription",7814,""[2] recordIndex=1, code=AAA-999-B, title=New title 4, description=New description 5, assemblyNotes=This is assembly notes 5, link=null"","OK"
"2022-05-22 11:38:48.215","acme.testing.inventor.toolkits.InventorToolkitsUpdateTest","positiveToolkitInventorTestAssemblyNotes",7800,""[1] recordIndex=0, code=AAA-000-A, title=New title 4, description=New description 4, assemblyNotes=This is assembly notes 3, link=https://www.google.es"","OK"
"2022-05-22 11:38:56.839","acme.testing.inventor.toolkits.InventorToolkitsUpdateTest","positiveToolkitInventorTestAssemblyNotes",8292,""[2] recordIndex=1, code=AAA-999-B, title=New title 4, description=New description 5, assemblyNotes=This is assembly notes 5, link=null"","OK"
"2022-05-22 11:39:05.411","acme.testing.inventor.toolkits.InventorToolkitsUpdateTest","positiveToolkitInventorTestLink",8239,""[1] recordIndex=0, code=AAA-000-A, title=New title 4, description=New description 4, assemblyNotes=This is assembly notes 3, link=https://www.google.es"","OK"
"2022-05-22 11:39:13.485","acme.testing.inventor.toolkits.InventorToolkitsUpdateTest","positiveToolkitInventorTestLink",7740,""[2] recordIndex=1, code=AAA-999-B, title=New title 4, description=New description 5, assemblyNotes=This is assembly notes 5, link=null"","OK"
"2022-05-22 11:39:39.294","acme.testing.inventor.toolkits.InventorToolkitsDeleteTest","positiveDeleteToolkitInventorTest",11458,""[1] recordIndex=1, code=AAA-000-B, title=New title 2, description=New description 2, assemblyNotes=This is assembly notes 2, link=null"","OK"
"2022-05-22 11:39:54.389","acme.testing.inventor.toolkits.InventorToolkitsDeleteTest","positiveDeleteWithArtefactsToolkitInventorTest",14771,""[1] recordIndex=1, code=AAA-000-B, title=New title 2, description=New description 2, assemblyNotes=This is assembly notes 2, link=null"","OK"
"2022-05-22 11:40:16.185","acme.testing.inventor.toolkits.InventorToolkitsPublishTest","createToolkit",7405,""[1] recordIndex=1, code=AAA-000-B, title=New title 2, description=New description 2, assemblyNotes=This is assembly notes 2, link=null"","OK"
"2022-05-22 11:40:20.9","acme.testing.inventor.toolkits.InventorToolkitsPublishTest","negativePublishWithNoArtefactsToolkitInventorTest",4392,""negativePublishWithNoArtefactsToolkitInventorTest()"","OK"
"2022-05-22 11:40:49.918","acme.testing.inventor.toolkits.InventorToolkitsPublishTest","positivePublishToolkitInventorTest",28691,""positivePublishToolkitInventorTest()"","OK"
"2022-05-22 11:41:12.279","acme.testing.inventor.toolkits.InventorToolkitsListTest","positiveToolkitInventorTest",8398,""[1] recordIndex=0, code=AAA-123-A, title=New title 1, description=New description 1, assemblyNotes=This is assembly notes 1, link=https://www.google.es, published=true"","OK"
"2022-05-22 11:41:21.001","acme.testing.inventor.toolkits.InventorToolkitsListTest","positiveToolkitInventorTest",8374,""[2] recordIndex=1, code=ABB-321-A, title=New title 2, description=New description 2, assemblyNotes=This is assembly notes 2, link=https://www.google.com, published=true"","OK"
"2022-05-22 11:41:31.438","acme.testing.inventor.toolkits.InventorToolkitsListTest","positiveToolInventorTest",10116,""[1] recordIndex=0, type=TOOL, name=name04, code=ABC-012-D, techonology=technology04, description=description04, retailPrice=EUR 10.00, moreInfo=null"","OK"
"2022-05-22 11:41:44.937","acme.testing.inventor.toolkits.InventorToolkitsListTest","NegativeToolInventorTest",13164,""[1] recordIndex=0"","OK"
"2022-05-22 11:41:57.408","acme.testing.inventor.toolkits.InventorToolkitsListTest","NegativeToolkitInventorTest",12153,""[1] recordIndex=0"","OK"
