timestamp,test-class,test-method,time,description,result
"2022-05-22 16:08:07.69","acme.testing.inventor.toolkits.InventorToolkitsCreateTest","positiveToolkitInventorTest",17644,""[1] recordIndex=0, code=AAA-000-A, title=New title 1, description=New description 1, assemblyNotes=This is assembly notes 1, link=https://www.google.es"","OK"
"2022-05-22 16:08:22.294","acme.testing.inventor.toolkits.InventorToolkitsCreateTest","positiveToolkitInventorTest",14273,""[2] recordIndex=1, code=AAA-000-B, title=New title 2, description=New description 2, assemblyNotes=This is assembly notes 2, link=null"","OK"
"2022-05-22 16:08:25.449","acme.testing.inventor.toolkits.InventorToolkitsCreateTest","negativeToolkitPatronTest",2810,""negativeToolkitPatronTest()"","OK"
"2022-05-22 16:08:30.55","acme.testing.inventor.toolkits.InventorToolkitsCreateTest","negativeToolkitInventorTestCode",4747,""[1] recordIndex=0, code=null, title=null, description=null, assemblyNotes=null, link=null"","OK"
"2022-05-22 16:08:35.647","acme.testing.inventor.toolkits.InventorToolkitsCreateTest","negativeToolkitInventorTestCode",4761,""[2] recordIndex=1, code=AAAAAA, title=null, description=null, assemblyNotes=null, link=null"","OK"
"2022-05-22 16:08:40.914","acme.testing.inventor.toolkits.InventorToolkitsCreateTest","negativeToolkitInventorTestCode",4909,""[3] recordIndex=1, code=ABF-123-A, title=nigeria nigeria, description=nigeria nigeria, assemblyNotes=nigeria nigeria, link=///"","OK"
"2022-05-22 16:08:46.016","acme.testing.inventor.toolkits.InventorToolkitsCreateTest","negativeToolkitInventorTestTitle",4785,""[1] recordIndex=1, code=AAAAAA, title=null, description=null, assemblyNotes=null, link=null"","OK"
"2022-05-22 16:08:51.161","acme.testing.inventor.toolkits.InventorToolkitsCreateTest","negativeToolkitInventorTestTitle",4830,""[2] recordIndex=1, code=ABF-123-A, title=nigeria nigeria, description=nigeria nigeria, assemblyNotes=nigeria nigeria, link=///"","OK"
"2022-05-22 16:08:56.203","acme.testing.inventor.toolkits.InventorToolkitsCreateTest","negativeToolkitInventorTestDescription",4720,""[1] recordIndex=1, code=AAAAAA, title=null, description=null, assemblyNotes=null, link=null"","OK"
"2022-05-22 16:09:01.377","acme.testing.inventor.toolkits.InventorToolkitsCreateTest","negativeToolkitInventorTestDescription",4842,""[2] recordIndex=1, code=ABF-123-A, title=nigeria nigeria, description=nigeria nigeria, assemblyNotes=nigeria nigeria, link=///"","OK"
"2022-05-22 16:09:06.424","acme.testing.inventor.toolkits.InventorToolkitsCreateTest","negativeToolkitInventorTestAssemblyNotes",4731,""[1] recordIndex=1, code=AAAAAA, title=null, description=null, assemblyNotes=null, link=null"","OK"
"2022-05-22 16:09:11.63","acme.testing.inventor.toolkits.InventorToolkitsCreateTest","negativeToolkitInventorTestAssemblyNotes",4874,""[2] recordIndex=1, code=ABF-123-A, title=nigeria nigeria, description=nigeria nigeria, assemblyNotes=nigeria nigeria, link=///"","OK"
"2022-05-22 16:09:19.804","acme.testing.inventor.toolkits.InventorToolkitsCreateTest","negativeToolkitInventorTestLink",7846,""[1] recordIndex=1, code=ABF-123-A, title=nigeria nigeria, description=nigeria nigeria, assemblyNotes=nigeria nigeria, link=///"","OK"
