key,term,language,type
term-01,sexo,SPANISH,STRONG
term-02,hardcore,SPANISH,STRONG
term-03,viagra,SPANISH,STRONG
term-04,cialis,SPANISH,STRONG
term-05,sensual,SPANISH,WEAK
term-06,nigeria,SPANISH,WEAK
term-07,has ganado,SPANISH,WEAK
term-08,1 millon,SPANISH,WEAK
term-09,sex,ENGLISH,STRONG
term-10,hardcore,ENGLISH,STRONG
term-11,viagra,ENGLISH,STRONG
term-12,cialis,ENGLISH,STRONG
term-13,sexy,ENGLISH,WEAK
term-14,nigeria,ENGLISH,WEAK
term-15,you’ve won,ENGLISH,WEAK
term-16,one mil-lion,ENGLISH,WEAK
